District,Season,Soil_Type,N,P,K,Soil_pH,Temperature,Humidity,Rainfall,Crop
Nashik,Rabi,Loamy,64,34,55,6.89,29.52,33.41,89.75,Gram
Nashik,Rabi,Loamy,62,36,58,6.94,30.1,33.96,99.69,Gram
Nashik,Kharif,Loamy,65,36,57,7.05,28.89,37.98,99.38,Onion
Pune,Rabi,Black,76,38,55,7.22,20.71,63.42,128.43,Wheat
Nashik,Zaid,Loamy,64,40,59,6.83,27.45,39.47,99.37,Vegetables
Solapur,Zaid,Black,50,31,58,7.83,28.42,73.5,90.24,Fodder
Pune,Zaid,Black,73,37,50,6.94,19.41,56.67,91.32,Vegetables
Pune,Zaid,Black,75,39,50,7.14,19.74,68.13,97.82,Vegetables
Solapur,Zaid,Black,54,33,59,8.07,29.06,74.34,93.45,Fodder
Nashik,Zaid,Loamy,63,40,57,6.55,29.79,37.79,86.53,Vegetables
Solapur,Rabi,Black,57,37,61,7.65,26.81,63.02,74.78,Jowar
Nashik,Rabi,Loamy,63,35,61,6.73,28.44,39.78,84.06,Gram
Solapur,Rabi,Black,58,34,58,7.46,28.98,62.82,75.51,Jowar
Nashik,Zaid,Loamy,64,39,56,6.7,29.05,29.73,95.1,Vegetables
Nashik,Rabi,Loamy,70,37,57,6.91,27.55,29.62,104.25,Gram
Solapur,Rabi,Black,55,34,59,7.61,28.03,71.48,75.2,Jowar
Solapur,Zaid,Black,51,30,58,8.1,25.71,60.0,70.42,Fodder
Nashik,Zaid,Loamy,60,34,53,7.16,28.9,39.72,96.01,Vegetables
Nashik,Rabi,Loamy,69,35,57,7.09,30.52,41.08,108.78,Gram
Pune,Rabi,Black,71,36,55,7.14,21.89,63.08,100.4,Wheat
Solapur,Rabi,Black,54,37,62,7.92,26.9,67.46,70.72,Jowar
Nashik,Zaid,Loamy,67,36,54,6.63,28.17,31.19,95.41,Vegetables
Nashik,Rabi,Loamy,67,38,60,6.85,29.0,35.88,94.67,Gram
Nashik,Zaid,Loamy,63,38,58,6.64,28.56,35.4,85.69,Vegetables
Nashik,Rabi,Loamy,64,36,59,6.84,28.83,41.09,81.25,Gram
Pune,Rabi,Black,77,37,53,7.12,20.22,54.75,89.54,Wheat
Nashik,Kharif,Loamy,68,37,58,6.67,28.56,37.38,107.73,Onion
Solapur,Kharif,Black,52,37,60,8.0,26.66,61.89,95.46,Bajra
Solapur,Rabi,Black,58,32,58,7.81,27.18,64.65,95.25,Jowar
Nashik,Zaid,Loamy,68,33,59,6.95,28.32,38.86,85.79,Vegetables
Pune,Zaid,Black,76,41,54,7.23,19.57,57.13,106.28,Vegetables
Pune,Zaid,Black,73,43,55,7.1,19.72,63.68,117.27,Vegetables
Nashik,Zaid,Loamy,69,34,57,6.77,27.07,41.01,75.88,Vegetables
Pune,Zaid,Black,73,39,55,6.98,21.17,59.35,101.73,Vegetables
Nashik,Kharif,Loamy,62,34,58,6.52,28.82,31.45,101.55,Onion
Solapur,Kharif,Black,52,34,60,7.8,25.44,76.12,62.49,Bajra
Nashik,Kharif,Loamy,69,37,60,6.84,31.05,37.9,101.62,Onion
Nashik,Rabi,Loamy,66,34,56,7.07,29.28,34.03,91.87,Gram
Solapur,Rabi,Black,52,32,61,7.62,28.0,77.51,81.22,Jowar
Pune,Zaid,Black,77,43,52,6.9,21.45,62.46,107.79,Vegetables
Solapur,Kharif,Black,52,32,59,7.82,25.93,63.47,75.35,Bajra
Pune,Rabi,Black,72,39,54,6.71,20.16,50.62,104.92,Wheat
Solapur,Kharif,Black,57,33,60,7.84,27.8,62.4,59.95,Bajra
Solapur,Rabi,Black,50,32,59,7.68,28.16,74.12,65.54,Jowar
Nashik,Rabi,Loamy,60,38,58,6.64,30.81,33.29,87.5,Gram
Nashik,Rabi,Loamy,70,41,61,6.64,27.36,29.1,83.84,Gram
Nashik,Zaid,Loamy,63,34,58,7.17,29.35,40.66,100.9,Vegetables
Pune,Zaid,Black,69,43,57,7.4,18.3,65.65,105.6,Vegetables
Nashik,Zaid,Loamy,67,38,58,6.74,29.69,43.63,91.5,Vegetables
Pune,Kharif,Black,75,37,55,7.12,21.61,54.6,112.45,Rice
Nashik,Zaid,Loamy,67,40,57,7.01,27.36,33.75,97.4,Vegetables
Pune,Rabi,Black,70,39,51,6.71,20.96,69.83,100.86,Wheat
Solapur,Kharif,Black,56,33,59,7.5,28.06,64.49,68.13,Bajra
Pune,Kharif,Black,72,43,56,6.8,20.91,62.37,112.22,Rice
Nashik,Kharif,Loamy,61,39,58,6.74,28.63,27.31,108.16,Onion
Nashik,Zaid,Loamy,66,34,54,6.98,30.9,32.71,98.33,Vegetables
Pune,Zaid,Black,73,41,55,6.77,21.57,54.16,126.66,Vegetables
Solapur,Rabi,Black,59,37,59,7.69,26.72,65.15,75.02,Jowar
Solapur,Rabi,Black,55,36,60,7.51,25.93,63.6,57.27,Jowar
Nashik,Kharif,Loamy,65,36,60,6.9,30.06,32.15,79.91,Onion
Solapur,Kharif,Black,56,36,58,7.98,27.05,61.67,71.75,Bajra
Nashik,Kharif,Loamy,66,33,56,7.09,27.26,40.15,79.0,Onion
Pune,Zaid,Black,71,40,51,6.94,22.03,63.7,126.58,Vegetables
Solapur,Kharif,Black,52,34,59,7.78,25.26,65.82,77.14,Bajra
Nashik,Kharif,Loamy,63,35,58,6.96,26.57,42.12,100.33,Onion
Nashik,Zaid,Loamy,62,39,54,6.78,27.9,36.78,87.16,Vegetables
Pune,Zaid,Black,73,42,50,6.95,20.31,65.43,127.8,Vegetables
Nashik,Zaid,Loamy,59,39,56,6.47,28.14,36.18,84.37,Vegetables
Nashik,Rabi,Loamy,65,38,56,6.76,29.16,40.53,107.17,Gram
Pune,Kharif,Black,73,41,50,6.85,19.08,55.34,100.67,Rice
Pune,Kharif,Black,78,38,54,7.25,20.79,53.45,120.27,Rice
Pune,Rabi,Black,79,39,54,6.94,20.8,61.78,108.04,Wheat
Solapur,Kharif,Black,55,34,60,7.8,26.05,67.69,76.73,Bajra
Pune,Zaid,Black,80,43,50,7.25,20.67,56.51,112.32,Vegetables
Nashik,Rabi,Loamy,65,37,57,7.06,27.83,32.06,116.78,Gram
Pune,Zaid,Black,74,41,51,7.29,19.07,68.14,117.83,Vegetables
Nashik,Kharif,Loamy,61,36,61,6.98,28.18,37.87,104.97,Onion
Pune,Kharif,Black,79,37,56,6.86,20.85,62.65,131.49,Rice
Solapur,Kharif,Black,56,32,62,8.07,26.76,68.14,94.5,Bajra
Solapur,Kharif,Black,57,31,60,7.6,25.53,71.34,87.81,Bajra
Pune,Kharif,Black,75,36,55,6.92,21.61,70.08,100.29,Rice
Pune,Rabi,Black,71,39,52,7.21,19.62,56.42,121.55,Wheat
Solapur,Kharif,Black,54,37,61,8.1,26.86,72.74,90.28,Bajra
Pune,Kharif,Black,75,38,53,6.93,22.3,70.89,100.86,Rice
Nashik,Zaid,Loamy,62,38,58,6.5,30.13,39.3,106.32,Vegetables
Solapur,Zaid,Black,54,35,59,7.59,26.92,71.19,58.75,Fodder
Solapur,Rabi,Black,54,30,62,7.98,26.61,67.74,67.48,Jowar
Solapur,Rabi,Black,54,32,60,7.79,26.56,72.67,68.5,Jowar
Nashik,Kharif,Loamy,70,37,56,6.68,29.79,37.94,83.37,Onion
Pune,Zaid,Black,77,35,57,6.97,19.54,67.9,112.14,Vegetables
Pune,Zaid,Black,73,41,51,6.63,19.71,55.96,105.2,Vegetables
Nashik,Rabi,Loamy,69,37,58,7.03,30.02,34.07,112.12,Gram
Pune,Kharif,Black,71,40,54,7.27,20.69,60.16,119.45,Rice
Solapur,Rabi,Black,56,35,61,8.1,26.18,66.16,78.07,Jowar
Nashik,Rabi,Loamy,61,36,60,6.82,29.53,27.87,93.84,Gram
Solapur,Kharif,Black,49,36,58,7.94,27.32,73.46,69.21,Bajra
Solapur,Kharif,Black,58,35,58,8.18,27.44,74.09,84.25,Bajra
Solapur,Kharif,Black,54,32,58,7.83,28.82,71.21,83.61,Bajra
Solapur,Rabi,Black,56,36,60,8.19,27.19,61.0,79.82,Jowar
Nashik,Rabi,Loamy,58,35,61,6.88,28.05,34.21,98.9,Gram
Solapur,Rabi,Black,53,31,60,7.56,27.37,67.46,66.83,Jowar
Solapur,Rabi,Black,55,32,56,7.87,27.69,73.08,85.75,Jowar
Nashik,Zaid,Loamy,62,37,54,6.61,28.66,34.83,95.25,Vegetables
Nashik,Kharif,Loamy,68,36,56,6.99,28.38,31.3,84.43,Onion
Pune,Zaid,Black,73,41,54,6.93,21.62,63.32,101.08,Vegetables
Pune,Rabi,Black,77,37,53,6.88,21.32,66.37,119.78,Wheat
Nashik,Kharif,Loamy,62,40,58,6.99,27.82,42.9,85.87,Onion
Pune,Kharif,Black,79,38,56,6.98,21.55,64.71,115.75,Rice
Pune,Rabi,Black,79,39,56,7.04,20.69,61.57,109.37,Wheat
Nashik,Kharif,Loamy,62,36,59,6.47,29.41,42.49,89.11,Onion
Nashik,Rabi,Loamy,63,36,60,7.18,29.19,35.83,98.52,Gram
Pune,Zaid,Black,71,39,58,7.0,19.04,67.84,96.47,Vegetables
Pune,Rabi,Black,72,39,52,7.1,21.27,69.19,130.22,Wheat
Solapur,Zaid,Black,48,35,63,7.74,27.63,63.11,79.59,Fodder
Nashik,Rabi,Loamy,67,39,60,6.89,29.08,42.02,94.06,Gram
Nashik,Kharif,Loamy,66,39,59,6.42,29.62,36.45,72.68,Onion
Pune,Kharif,Black,74,41,51,6.93,19.52,66.11,108.22,Rice
Pune,Kharif,Black,70,41,54,6.79,21.68,66.2,121.89,Rice
Pune,Rabi,Black,73,42,54,7.06,21.35,53.11,127.1,Wheat
Pune,Kharif,Black,78,35,52,7.06,19.82,58.63,108.42,Rice
Solapur,Kharif,Black,52,37,60,7.86,27.39,64.79,82.38,Bajra
Nashik,Kharif,Loamy,64,39,55,7.02,29.54,33.75,103.58,Onion
Pune,Zaid,Black,76,38,57,6.85,20.2,51.33,111.65,Vegetables
Solapur,Zaid,Black,53,31,58,7.91,27.46,64.15,62.59,Fodder
Solapur,Rabi,Black,58,34,62,7.68,28.21,69.65,68.94,Jowar
Pune,Kharif,Black,77,38,58,7.14,22.43,61.29,112.91,Rice
Solapur,Rabi,Black,59,36,59,7.89,28.25,65.76,62.51,Jowar
Solapur,Rabi,Black,58,34,60,7.39,26.61,64.91,76.02,Jowar
Pune,Kharif,Black,74,36,52,7.06,20.27,59.74,121.19,Rice
Nashik,Zaid,Loamy,60,36,56,6.76,27.54,41.62,98.32,Vegetables
Solapur,Kharif,Black,55,33,60,7.83,28.04,66.41,83.44,Bajra
Nashik,Zaid,Loamy,66,33,57,7.13,27.95,39.6,74.1,Vegetables
Nashik,Rabi,Loamy,60,37,53,6.83,28.32,34.95,92.93,Gram
Pune,Rabi,Black,73,38,52,7.15,22.03,56.7,120.85,Wheat
Nashik,Kharif,Loamy,62,36,56,6.9,27.49,36.75,99.42,Onion
Pune,Kharif,Black,75,41,51,7.14,18.28,68.4,121.61,Rice
Solapur,Kharif,Black,54,34,56,8.18,25.25,72.46,88.83,Bajra
Pune,Rabi,Black,73,35,53,6.65,20.59,63.53,111.0,Wheat
Pune,Rabi,Black,75,42,53,6.91,20.09,59.66,100.9,Wheat
Solapur,Zaid,Black,55,32,63,7.71,26.88,61.19,70.38,Fodder
Solapur,Rabi,Black,50,35,59,8.18,27.41,64.82,81.72,Jowar
Pune,Kharif,Black,73,39,53,6.82,20.83,57.52,102.59,Rice
Nashik,Kharif,Loamy,61,36,56,6.99,28.77,29.99,90.31,Onion
Pune,Rabi,Black,69,35,55,7.05,20.25,72.01,100.89,Wheat
Nashik,Rabi,Loamy,66,38,55,6.39,27.75,34.8,89.64,Gram
Nashik,Zaid,Loamy,62,38,58,6.49,28.16,43.83,75.84,Vegetables
Nashik,Kharif,Loamy,61,34,54,6.98,27.66,26.86,99.21,Onion
Pune,Zaid,Black,76,38,51,6.89,18.23,56.67,87.21,Vegetables
Nashik,Zaid,Loamy,63,36,60,6.6,27.13,34.58,77.43,Vegetables
Nashik,Kharif,Loamy,65,38,61,6.46,26.68,40.36,98.09,Onion
Nashik,Kharif,Loamy,67,35,54,6.55,27.57,30.41,98.8,Onion
Pune,Rabi,Black,75,41,51,7.08,20.17,67.65,96.03,Wheat
Solapur,Rabi,Black,59,35,62,7.68,26.71,74.67,76.13,Jowar
Nashik,Rabi,Loamy,65,37,54,6.75,28.98,35.68,73.48,Gram
Nashik,Zaid,Loamy,64,37,60,6.88,28.86,29.74,104.27,Vegetables
Solapur,Zaid,Black,53,32,62,7.65,28.9,68.97,61.29,Fodder
Pune,Zaid,Black,73,40,56,7.11,20.22,62.25,115.76,Vegetables
Nashik,Rabi,Loamy,64,40,58,6.85,27.7,28.37,90.24,Gram
Solapur,Rabi,Black,53,35,63,7.71,27.87,67.62,71.35,Jowar
Nashik,Kharif,Loamy,65,35,55,6.92,30.27,32.28,117.44,Onion
Solapur,Zaid,Black,55,34,60,7.58,24.93,63.33,91.0,Fodder
Solapur,Kharif,Black,59,37,59,7.91,26.91,72.69,65.77,Bajra
Nashik,Zaid,Loamy,61,36,58,6.5,28.11,41.24,84.35,Vegetables
Pune,Rabi,Black,72,37,58,7.32,21.83,64.03,118.16,Wheat
Pune,Zaid,Black,77,41,55,7.05,20.85,69.19,103.89,Vegetables
Nashik,Zaid,Loamy,63,36,59,6.5,30.26,32.75,95.15,Vegetables
Nashik,Kharif,Loamy,65,38,55,6.94,28.96,40.73,86.9,Onion
Pune,Kharif,Black,77,41,54,6.6,21.34,61.94,101.67,Rice
Nashik,Rabi,Loamy,69,35,57,6.76,27.72,27.1,95.54,Gram
Pune,Kharif,Black,71,38,52,6.83,21.25,62.21,122.63,Rice
Nashik,Kharif,Loamy,66,41,58,6.49,28.03,29.88,109.95,Onion
Pune,Kharif,Black,74,37,55,7.36,20.04,62.22,118.54,Rice
Pune,Zaid,Black,76,39,55,6.59,18.81,71.33,121.65,Vegetables
Nashik,Kharif,Loamy,61,38,56,6.96,27.01,31.53,101.41,Onion
Solapur,Rabi,Black,48,37,61,7.69,25.55,66.49,71.27,Jowar
Pune,Rabi,Black,73,41,58,7.14,21.2,62.6,96.96,Wheat
Nashik,Zaid,Loamy,65,38,60,6.76,29.07,40.1,101.57,Vegetables
Solapur,Kharif,Black,55,37,57,7.74,28.49,63.45,82.75,Bajra
Solapur,Zaid,Black,50,31,61,7.91,27.67,64.07,89.43,Fodder
Solapur,Kharif,Black,53,31,60,7.99,28.2,74.86,74.99,Bajra
Solapur,Kharif,Black,53,33,62,7.57,28.03,76.03,57.46,Bajra
Nashik,Kharif,Loamy,66,38,61,6.88,28.8,40.49,89.37,Onion
Pune,Rabi,Black,75,40,54,7.31,20.67,62.63,119.28,Wheat
Nashik,Rabi,Loamy,59,38,55,6.87,27.21,28.6,79.06,Gram
Nashik,Kharif,Loamy,63,40,60,6.69,30.2,33.42,102.01,Onion
Pune,Rabi,Black,74,40,53,6.74,20.11,60.4,94.91,Wheat
Pune,Zaid,Black,70,39,52,7.1,21.29,63.27,115.4,Vegetables
Pune,Zaid,Black,70,39,56,6.83,21.4,70.09,110.25,Vegetables
Pune,Zaid,Black,80,40,56,7.27,18.97,59.41,127.89,Vegetables
Nashik,Kharif,Loamy,66,36,58,6.68,29.35,35.78,75.63,Onion
Pune,Zaid,Black,78,41,52,6.96,20.76,63.08,109.59,Vegetables
Pune,Rabi,Black,70,41,51,7.27,20.39,61.71,119.26,Wheat
Pune,Zaid,Black,69,38,53,6.7,20.69,65.99,111.86,Vegetables
Nashik,Kharif,Loamy,63,39,57,6.85,28.24,36.18,94.06,Onion
Pune,Zaid,Black,79,39,54,7.04,21.28,60.61,86.5,Vegetables
Solapur,Zaid,Black,52,33,61,8.04,27.78,66.7,75.21,Fodder
Solapur,Zaid,Black,50,32,60,7.92,27.55,77.58,79.37,Fodder
Pune,Kharif,Black,69,42,51,6.97,20.78,63.61,113.58,Rice
Pune,Rabi,Black,74,41,53,6.67,20.93,64.67,125.04,Wheat
Solapur,Zaid,Black,52,36,58,7.83,26.88,75.27,68.77,Fodder
Pune,Zaid,Black,78,40,54,7.09,21.37,62.93,114.31,Vegetables
Nashik,Rabi,Loamy,65,35,55,6.79,28.8,24.65,101.3,Gram
Nashik,Kharif,Loamy,62,40,58,6.54,28.01,32.7,96.87,Onion
Pune,Rabi,Black,80,39,57,6.86,21.21,54.44,107.57,Wheat
Pune,Zaid,Black,76,39,55,6.85,20.57,56.92,87.95,Vegetables
Nashik,Zaid,Loamy,64,35,55,6.93,28.39,30.22,106.0,Vegetables
Nashik,Kharif,Loamy,60,39,59,6.79,28.9,29.19,80.04,Onion
Pune,Kharif,Black,72,35,56,7.21,20.73,63.33,108.57,Rice
Pune,Rabi,Black,72,38,53,7.14,20.69,69.49,113.64,Wheat
Nashik,Rabi,Loamy,61,38,55,7.27,29.79,40.5,96.74,Gram
Pune,Zaid,Black,70,42,57,7.0,20.94,65.63,116.5,Vegetables
Pune,Zaid,Black,73,41,53,7.02,18.7,60.87,105.7,Vegetables
Solapur,Zaid,Black,58,37,58,7.42,29.19,72.21,84.27,Fodder
Solapur,Zaid,Black,51,34,59,7.7,28.79,65.4,73.35,Fodder
Pune,Zaid,Black,79,39,52,6.78,21.01,65.94,118.99,Vegetables
Pune,Rabi,Black,73,38,54,6.89,21.11,66.48,125.49,Wheat
Solapur,Kharif,Black,57,34,60,7.56,26.58,61.81,77.21,Bajra
Solapur,Zaid,Black,55,31,60,7.68,29.3,64.5,65.07,Fodder
Nashik,Kharif,Loamy,65,35,57,6.58,28.48,43.37,88.32,Onion
Nashik,Rabi,Loamy,66,41,58,6.8,27.91,33.27,75.78,Gram
Pune,Rabi,Black,75,39,55,6.75,20.33,64.47,115.36,Wheat
Solapur,Rabi,Black,56,36,61,7.64,25.72,73.85,76.94,Jowar
Solapur,Zaid,Black,55,33,60,7.79,26.81,74.74,70.93,Fodder
Solapur,Rabi,Black,56,38,60,8.02,27.27,71.33,68.83,Jowar
Nashik,Rabi,Loamy,63,37,57,6.91,28.38,40.76,88.88,Gram
Nashik,Kharif,Loamy,67,35,57,6.43,27.77,39.22,109.71,Onion
Nashik,Zaid,Loamy,67,37,53,6.86,26.9,25.39,90.8,Vegetables
Solapur,Rabi,Black,53,33,62,7.77,27.89,60.21,86.49,Jowar
Solapur,Zaid,Black,55,33,61,7.73,27.17,67.69,91.91,Fodder
Pune,Rabi,Black,73,40,57,7.04,20.68,67.83,108.76,Wheat
Pune,Rabi,Black,73,41,52,7.01,19.53,65.71,112.15,Wheat
Nashik,Kharif,Loamy,68,40,57,6.71,28.4,28.06,83.84,Onion
Pune,Kharif,Black,77,41,56,7.48,20.96,65.25,116.01,Rice
Pune,Zaid,Black,69,41,50,6.51,19.76,55.02,105.61,Vegetables
Solapur,Zaid,Black,51,34,63,7.72,28.28,61.5,73.23,Fodder
Pune,Rabi,Black,70,35,51,6.57,20.61,61.93,105.05,Wheat
Pune,Rabi,Black,73,40,51,7.12,18.33,72.38,120.68,Wheat
Pune,Rabi,Black,74,39,51,6.73,20.53,64.48,122.38,Wheat
Solapur,Rabi,Black,51,35,61,7.38,28.25,66.61,78.59,Jowar
Pune,Kharif,Black,73,38,55,6.8,20.14,62.65,117.23,Rice
Nashik,Zaid,Loamy,65,33,56,6.82,30.07,37.1,92.97,Vegetables
Pune,Rabi,Black,72,35,58,6.75,21.37,71.16,117.77,Wheat
Solapur,Rabi,Black,49,36,60,7.64,28.28,74.34,59.73,Jowar
Pune,Zaid,Black,71,40,54,7.16,21.54,61.83,119.66,Vegetables
Solapur,Zaid,Black,52,34,62,7.74,29.45,63.31,82.32,Fodder
Nashik,Kharif,Loamy,65,36,57,7.13,28.73,36.93,90.48,Onion
Nashik,Kharif,Loamy,63,37,58,6.93,30.44,29.62,94.21,Onion
Solapur,Rabi,Black,52,32,57,8.07,27.92,75.21,85.82,Jowar
Pune,Rabi,Black,78,38,53,7.17,19.92,55.65,125.9,Wheat
Solapur,Kharif,Black,53,34,59,7.53,27.81,69.04,69.02,Bajra
Solapur,Rabi,Black,56,35,58,7.64,26.24,68.87,77.4,Jowar
Pune,Kharif,Black,72,36,55,6.57,20.28,62.44,104.45,Rice
Solapur,Rabi,Black,55,32,61,7.83,26.02,65.54,58.4,Jowar
Nashik,Zaid,Loamy,69,34,53,7.1,29.91,42.66,103.78,Vegetables
Pune,Rabi,Black,73,36,55,7.02,20.49,65.28,108.61,Wheat
Nashik,Zaid,Loamy,63,41,56,6.82,28.92,31.77,109.43,Vegetables
Nashik,Kharif,Loamy,68,39,53,6.69,27.63,35.67,96.85,Onion
Pune,Kharif,Black,75,42,53,6.92,20.08,69.38,126.3,Rice
Nashik,Zaid,Loamy,66,38,55,7.1,29.59,33.29,94.14,Vegetables
Solapur,Kharif,Black,56,33,59,7.65,28.44,73.24,87.86,Bajra
Pune,Rabi,Black,70,36,56,6.71,21.14,67.51,109.56,Wheat
Solapur,Rabi,Black,54,31,59,8.14,27.81,63.73,95.51,Jowar
Solapur,Kharif,Black,54,35,61,7.98,26.98,68.62,75.01,Bajra
Pune,Rabi,Black,76,39,56,6.92,21.5,55.86,129.78,Wheat
Solapur,Rabi,Black,53,34,60,8.07,25.17,70.23,94.83,Jowar
Pune,Kharif,Black,74,42,53,7.45,20.03,66.27,114.12,Rice
Nashik,Zaid,Loamy,66,36,57,6.74,28.87,34.86,100.2,Vegetables
Nashik,Kharif,Loamy,61,36,61,7.16,30.12,43.31,98.78,Onion
Nashik,Zaid,Loamy,67,38,56,6.84,29.68,43.85,86.59,Vegetables
Nashik,Kharif,Loamy,63,35,61,6.88,28.56,35.55,94.8,Onion
Solapur,Kharif,Black,52,31,58,7.53,26.5,80.62,71.55,Bajra
Nashik,Rabi,Loamy,65,40,58,6.99,29.0,37.85,88.62,Gram
Nashik,Kharif,Loamy,62,39,57,7.16,28.33,30.11,86.58,Onion
Pune,Rabi,Black,74,43,55,7.17,20.55,59.18,115.45,Wheat
Nashik,Kharif,Loamy,67,37,61,6.84,28.51,36.36,86.6,Onion
Solapur,Kharif,Black,58,32,57,7.98,26.97,66.98,58.67,Bajra
Solapur,Rabi,Black,51,33,59,7.62,27.06,64.6,65.06,Jowar
Pune,Kharif,Black,72,36,54,7.04,19.74,67.97,92.6,Rice
Pune,Rabi,Black,70,39,51,6.77,19.01,56.69,108.87,Wheat
Pune,Zaid,Black,73,37,56,6.79,20.91,55.15,109.25,Vegetables
Solapur,Kharif,Black,51,31,58,7.88,27.96,62.63,64.71,Bajra
Solapur,Rabi,Black,49,36,58,7.54,28.87,64.74,87.6,Jowar
Nashik,Rabi,Loamy,65,37,53,7.06,28.1,34.88,84.67,Gram
Solapur,Zaid,Black,51,31,61,7.63,27.29,63.16,68.95,Fodder
Pune,Zaid,Black,75,40,51,6.61,20.23,53.68,113.17,Vegetables
Pune,Zaid,Black,80,39,57,6.96,21.53,57.29,91.83,Vegetables
Solapur,Rabi,Black,55,38,61,8.12,26.17,71.62,80.51,Jowar
Pune,Zaid,Black,71,39,56,6.65,20.98,65.89,94.38,Vegetables
Solapur,Zaid,Black,52,38,60,8.0,26.46,77.84,67.21,Fodder
Solapur,Zaid,Black,52,34,58,7.48,27.54,73.5,83.9,Fodder
Solapur,Kharif,Black,50,32,60,8.0,25.44,80.01,56.14,Bajra
Pune,Kharif,Black,73,37,54,6.79,20.64,52.97,112.59,Rice
Solapur,Zaid,Black,53,30,57,8.04,27.89,66.42,59.18,Fodder
Pune,Kharif,Black,74,43,56,6.84,18.98,58.46,109.67,Rice
Solapur,Rabi,Black,52,33,56,7.45,26.25,62.93,82.35,Jowar
Solapur,Rabi,Black,56,34,59,7.55,26.93,71.2,78.89,Jowar
Nashik,Zaid,Loamy,65,39,56,6.55,30.71,32.13,96.52,Vegetables
Solapur,Kharif,Black,58,30,60,7.71,26.6,75.23,70.75,Bajra
Nashik,Rabi,Loamy,65,36,58,7.03,28.15,31.34,98.61,Gram
Nashik,Zaid,Loamy,63,38,60,6.52,27.49,35.84,99.81,Vegetables
Nashik,Kharif,Loamy,67,35,59,6.9,28.74,35.86,92.69,Onion
Pune,Kharif,Black,70,39,50,6.73,21.82,60.71,110.02,Rice
Solapur,Rabi,Black,51,35,58,7.76,26.95,75.4,75.99,Jowar
Solapur,Rabi,Black,51,37,57,7.53,27.1,65.74,70.07,Jowar
Pune,Zaid,Black,72,41,54,6.97,21.44,56.91,112.78,Vegetables
Nashik,Kharif,Loamy,68,37,55,7.11,27.99,38.89,98.68,Onion
Pune,Zaid,Black,70,40,53,7.16,20.13,63.25,119.36,Vegetables
Solapur,Zaid,Black,53,30,59,7.78,26.39,78.08,65.23,Fodder
Pune,Rabi,Black,74,41,54,7.23,19.51,66.91,109.63,Wheat
Nashik,Rabi,Loamy,65,36,59,7.05,29.04,26.75,104.1,Gram
Solapur,Kharif,Black,58,34,57,7.56,27.9,64.14,58.49,Bajra
Nashik,Zaid,Loamy,67,41,58,6.88,27.39,40.84,79.96,Vegetables
Pune,Kharif,Black,74,41,54,7.17,20.21,60.97,115.24,Rice
Nashik,Rabi,Loamy,66,38,57,7.04,28.29,33.84,110.06,Gram
Nashik,Kharif,Loamy,66,36,57,6.87,27.88,30.54,87.84,Onion
Nashik,Kharif,Loamy,63,33,54,6.75,27.48,30.98,107.01,Onion
Pune,Kharif,Black,70,39,57,7.17,21.65,66.47,93.59,Rice
Solapur,Kharif,Black,51,32,58,8.06,27.52,69.88,63.31,Bajra
Solapur,Rabi,Black,51,34,58,7.55,26.47,64.39,70.98,Jowar
Nashik,Rabi,Loamy,64,36,60,6.98,29.04,36.9,106.74,Gram
Solapur,Rabi,Black,50,38,60,7.74,27.1,72.36,63.66,Jowar
Nashik,Kharif,Loamy,65,39,58,6.72,29.83,24.78,78.1,Onion
Solapur,Kharif,Black,56,32,60,7.82,27.51,74.88,58.74,Bajra
Solapur,Zaid,Black,54,31,58,7.72,26.17,60.45,78.17,Fodder
Pune,Rabi,Black,78,38,52,7.1,19.96,53.18,92.43,Wheat
Pune,Zaid,Black,75,41,53,6.63,21.12,56.61,97.52,Vegetables
Nashik,Kharif,Loamy,60,39,60,7.03,27.34,42.26,99.17,Onion
Nashik,Rabi,Loamy,69,39,60,6.94,29.74,35.5,100.68,Gram
Nashik,Kharif,Loamy,59,35,57,7.15,27.91,34.41,104.09,Onion
Nashik,Kharif,Loamy,60,35,59,6.69,28.58,37.45,81.7,Onion
Pune,Kharif,Black,77,43,52,6.79,20.39,73.75,113.14,Rice
Solapur,Zaid,Black,57,31,63,7.85,26.78,72.9,76.13,Fodder
Nashik,Rabi,Loamy,65,40,54,6.84,28.12,36.31,99.12,Gram
Solapur,Kharif,Black,55,32,56,7.62,26.72,75.83,68.0,Bajra
Nashik,Rabi,Loamy,68,37,58,7.1,29.16,30.21,83.84,Gram
Pune,Rabi,Black,77,41,54,7.14,19.13,59.65,102.89,Wheat
Nashik,Rabi,Loamy,67,41,59,6.67,28.15,32.67,74.98,Gram
Pune,Kharif,Black,77,41,56,6.91,21.38,56.72,112.03,Rice
Nashik,Rabi,Loamy,69,36,57,6.63,27.76,32.92,92.48,Gram
Pune,Kharif,Black,77,36,57,7.03,20.76,58.13,128.19,Rice
Pune,Rabi,Black,72,41,53,7.03,20.32,56.74,132.31,Wheat
Solapur,Kharif,Black,54,36,59,8.05,27.81,75.66,52.63,Bajra
Solapur,Rabi,Black,52,34,61,8.06,25.67,69.83,82.01,Jowar
Solapur,Kharif,Black,58,36,61,7.47,27.46,62.01,97.41,Bajra
Solapur,Kharif,Black,50,38,59,7.6,26.99,74.71,65.37,Bajra
Solapur,Zaid,Black,56,36,59,7.81,26.29,62.74,70.85,Fodder
